,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
0,Beyond Snack Kerala Banana Chips- 6 flavours Combo 600g...,₹437,₹540,19% off,4.4,(112),Grocery and Essentials,Snacks,Beyond
1,Prolicious Bestseller Khakhra Combo | High Protein & Fi...,₹525,₹535,1% off,3.9,(18),Grocery and Essentials,Snacks,Prolicious
2,JOLOCHIP Hottest CHIP Madness Last Challenge,₹249,,,4.2,"(31,254)",Grocery and Essentials,Snacks,JOLOCHIP
3,Haldiram's Bhujia Sev,₹78,₹105,25% off,4.4,"(4,203)",Grocery and Essentials,Snacks,Haldiram's
4,Haldiram's Moong Dal,₹48,₹60,20% off,4.4,"(1,634)",Grocery and Essentials,Snacks,Haldiram's
5,Roasty Tasty Roasted Chana Jor Lime & Spice Whole Grain...,₹130,₹149,12% off,3.9,(7),Grocery and Essentials,Snacks,Roasty
6,GOPAL NAMKEEN Bhavnagri Gathiya,₹69,₹70,1% off,4.2,"(1,103)",Grocery and Essentials,Snacks,GOPAL
7,CRAX Pipes,₹60,,,,,Grocery and Essentials,Snacks,CRAX
8,Haldiram's Soya Sticks,₹31,₹45,31% off,4.4,(381),Grocery and Essentials,Snacks,Haldiram's
9,EATFUL Phool Makhana Raw/Regular Lotus Seed Pop/Fox Nut...,₹399,₹450,11% off,4.3,"(1,149)",Grocery and Essentials,Snacks,EATFUL
10,Adarsh Namkeen Khatta Meetha Mixture Namkeen Indian Sna...,₹150,₹599,74% off,4.4,(7),Grocery and Essentials,Snacks,Adarsh
11,Adarsh Namkeen Maharaja Mixer Spicy Namkeen Crispy All ...,₹135,₹150,10% off,3.2,(10),Grocery and Essentials,Snacks,Adarsh
12,Bikaji Bhujia,₹320,,,4.3,"(1,078)",Grocery and Essentials,Snacks,Bikaji
13,Farmley Peri Peri Makhana Roasted In Olive Oil,₹338,₹398,15% off,4.3,"(1,691)",Grocery and Essentials,Snacks,Farmley
14,GOPAL NAMKEEN - Chana Dal Namkeen,₹70,,,4.2,(582),Grocery and Essentials,Snacks,GOPAL
15,"Sambha Roasted Crunchy Methi, Masala, Jeera & Plain Kha...",₹287,₹340,15% off,4.3,"(2,172)",Grocery and Essentials,Snacks,Sambha
16,"Being Bania Nutmix namkeen, masala mixed nuts , party m...",₹289,₹349,17% off,4.6,(35),Grocery and Essentials,Snacks,Being
17,Haldiram's Aloo Bhujia (Pack of 1),₹213,₹225,5% off,4.3,"(2,799)",Grocery and Essentials,Snacks,Haldiram's
18,GOPAL NAMKEEN Moong Dal,₹37,₹40,7% off,4.2,(591),Grocery and Essentials,Snacks,GOPAL
